전체 IPC,Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18,Unnamed: 20,Unnamed: 22,Unnamed: 24,Unnamed: 26,Unnamed: 28,Unnamed: 30,Unnamed: 32,Unnamed: 34,Unnamed: 36,Unnamed: 38,Unnamed: 40,Unnamed: 42,Unnamed: 44,Unnamed: 46,Unnamed: 48,Unnamed: 50,Unnamed: 52,Unnamed: 54,Unnamed: 56,Unnamed: 58,Unnamed: 60,Unnamed: 62,Unnamed: 64,Unnamed: 66,Unnamed: 68,Unnamed: 70,Unnamed: 72,Unnamed: 74,Unnamed: 76,Unnamed: 78,Unnamed: 80,Unnamed: 82
B64D, B64D, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F02C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F02C, F02C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, B64D, E06B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, B64D, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F16H, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F02C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H01M, H01M, H01M, H01M, H01M, H01M, H01M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H05K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A61K, A61K, A61K, A61P, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, B64D, B64U, G06F, G06V, G06V, G06V, H04N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F01D, F16J, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H01H, H01H, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F02C, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B25H, A47F, B64C, F16M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H01M, H01M, H01M, H01M, H01M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H01M, H01M, H01M, H01M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H01M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B67D, B67D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F02C, F02C, F02C, F02C, F02C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F02C, F01D, F02K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F02C, F02C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G05D, B64C, G05D, G05D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F16F, F16F, F16F, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G06V, A01M, G05D, G05D, G05D, G05D, G05D, G06V, G06V, G06V, H04N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B65D, E03B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
E05F, B64C, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A47J, F16B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B67D, F16K, F16K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H01M, B60L, H01M, H01M, H01M, H01M, H01M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H01M, A62C, H01M, H01M, H01M, H01M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64F, B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64F, B64D, B64U, G07C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H02K, B64C, H02K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H02P, B64C, B64D, H03K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A62C, A62C, A62C, A62C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H04B, B64C, G06V, H04B, H04L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H03F, H03F, H03F, H03F, H03F, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H02K, B64D, F02P, H02K, H02K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, B64D, B64D, E04B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F16H, B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H01M, H01M, H01M, H01M, H01M, H01M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B62D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
